month,deployed_tech_count,deployed_tech_ids,climate_restoration_effect,ocean_restoration_effect,agriculture_effect,pollution_cleanup_effect,baseline_mortality,transition_mortality,total_mortality,population,temperature_delta,co2_concentration,ocean_acidification,biodiversity_loss,nitrogen_boundary,phosphorus_boundary,active_crises,crisis_types,government_effectiveness,social_cohesion
10,26,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
11,26,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
12,26,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
13,31,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
14,31,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
15,31,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,8,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
16,36,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
17,36,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
18,36,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
19,41,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture",0.000000,0.000000,0.000000,0.002000,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
20,41,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture",0.000000,0.000000,0.000000,0.014291,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
21,41,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture",0.000000,0.000000,0.000000,0.014443,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
22,44,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture;integrated_nutrient_management;pfas_remediation;ecological_proxy_rewilding",0.000000,0.000000,0.000000,0.013609,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
23,44,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture;integrated_nutrient_management;pfas_remediation;ecological_proxy_rewilding",0.000000,0.000000,0.000000,0.016693,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
24,44,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture;integrated_nutrient_management;pfas_remediation;ecological_proxy_rewilding",0.000000,0.000000,0.000000,0.016892,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
25,47,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture;integrated_nutrient_management;pfas_remediation;ecological_proxy_rewilding;food_waste_reduction;coral_restoration_advanced;global_pfas_ban",0.000000,0.000000,0.000000,0.017092,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
26,47,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture;integrated_nutrient_management;pfas_remediation;ecological_proxy_rewilding;food_waste_reduction;coral_restoration_advanced;global_pfas_ban",0.000000,0.000000,0.000000,0.018767,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
27,47,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture;integrated_nutrient_management;pfas_remediation;ecological_proxy_rewilding;food_waste_reduction;coral_restoration_advanced;global_pfas_ban",0.000000,0.000000,0.000000,0.018999,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
28,49,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture;integrated_nutrient_management;pfas_remediation;ecological_proxy_rewilding;food_waste_reduction;coral_restoration_advanced;global_pfas_ban;habitat_restoration;emergency_greenhouse_networks",0.000000,0.000000,0.000000,0.019235,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
29,49,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture;integrated_nutrient_management;pfas_remediation;ecological_proxy_rewilding;food_waste_reduction;coral_restoration_advanced;global_pfas_ban;habitat_restoration;emergency_greenhouse_networks",0.000000,0.000000,0.000000,0.019472,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
30,49,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture;integrated_nutrient_management;pfas_remediation;ecological_proxy_rewilding;food_waste_reduction;coral_restoration_advanced;global_pfas_ban;habitat_restoration;emergency_greenhouse_networks",0.000000,0.000000,0.000000,0.019712,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
31,54,"rlhf_basic;mech_interp_basic;adversarial_eval;direct_air_capture;ai_pollution_remediation;collective_purpose_networks;ai_diagnostics;mrna_vaccines;solar_4th_gen;offshore_wind;ai_power_efficiency_communication;soil_p_optimization;p_efficient_cultivars;circular_food_systems;biological_nitrogen_fixation;nitrogen_circular_food;rhizosphere_engineering;nitroplast_integration;precision_fermentation_nitrogen;cold_tolerant_crops;phytoremediation_nitrogen;phytoremediation_networks;alternative_protein_insects_algae;active_sediment_management;regional_nitrogen_policies;mental_health_ai;ocean_alkalinity_enhancement;sediment_management_phosphorus;desalination_advanced;aquifer_mapping_ai;ecosystem_restoration_nitrogen;enhanced_ubi;local_resilience_networks;mech_interp_advanced;defensive_ai;strategic_grain_reserves;soil_health_restoration;struvite_recovery;precision_agriculture;nitrogen_monitoring_networks;algae_nutrient_capture;integrated_nutrient_management;pfas_remediation;ecological_proxy_rewilding;food_waste_reduction;coral_restoration_advanced;global_pfas_ban;habitat_restoration;emergency_greenhouse_networks;alternative_protein_insects;grid_batteries;smart_grids;green_chemistry;plastic_production_phaseout",0.000000,0.000000,0.000000,0.019954,0.000000,0.000000,0.000000,7,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0,"",0.000000,0.000000
